time,input_count,output_count,output_total_usd,cdd_total
2024-11-09 00:00:00,30433,54578,116781212,557649700.0
2024-11-09 01:00:00,31204,62652,90610493,54865895000.0
2024-11-09 02:00:00,29672,63009,62626525,1708945300.0
2024-11-09 03:00:00,28575,73493,73648290,761733900.0
2024-11-09 04:00:00,38198,72126,148104421,996969150.0
2024-11-09 05:00:00,40689,93428,92350427,762551900.0
2024-11-09 06:00:00,44887,100316,79546525,851207940.0
2024-11-09 07:00:00,40446,89914,80770638,739036200.0
2024-11-09 08:00:00,15494,28463,185583447,846835300.0
2024-11-09 09:00:00,37883,83282,206034029,1677231100.0
2024-11-09 10:00:00,42589,94275,143770273,37914726000.0
2024-11-09 11:00:00,44799,99188,224743566,47200068000.0
2024-11-09 12:00:00,30097,66604,89403869,1021508000.0
2024-11-09 13:00:00,42578,93041,121332982,980241200.0
2024-11-09 14:00:00,34505,76958,116312261,845933800.0
2024-11-09 15:00:00,37640,71656,126594287,1507371000.0
2024-11-09 16:00:00,26917,58979,120184306,3616014600.0
2024-11-09 17:00:00,19856,45982,93108403,2090212700.0
2024-11-09 18:00:00,21345,38076,86970722,369493380.0
2024-11-09 19:00:00,23885,44968,73680326,357564000.0
2024-11-09 20:00:00,17739,30998,91725140,877023600.0
2024-11-09 21:00:00,20316,40397,89990929,1058944700.0
2024-11-09 22:00:00,20970,35150,108474149,1662192100.0
2024-11-09 23:00:00,20607,37851,117168350,342918300.0
2024-11-10 00:00:00,25462,51779,185243721,2059702000.0
2024-11-10 01:00:00,35704,64995,204283614,22919037000.0
2024-11-10 02:00:00,30140,58689,136364116,733734340.0
2024-11-10 03:00:00,35660,69550,130000952,955186240.0
2024-11-10 04:00:00,37340,71654,189142904,1144063400.0
2024-11-10 05:00:00,37542,64514,201478748,3246617900.0
2024-11-10 06:00:00,34890,62426,307626216,7539635700.0
2024-11-10 07:00:00,55595,113420,100143373,1933876200.0
2024-11-10 08:00:00,41700,75222,69912477,4194433300.0
2024-11-10 09:00:00,30746,60695,127866205,3301295600.0
2024-11-10 10:00:00,40205,70088,149042485,7361298400.0
2024-11-10 11:00:00,43932,79749,182218683,7150082600.0
2024-11-10 12:00:00,33737,71018,236985994,17105613000.0
2024-11-10 13:00:00,31594,76237,246690382,6325568000.0
2024-11-10 14:00:00,32236,41915,157270149,3925241600.0
2024-11-10 15:00:00,50250,104509,231298850,9272349000.0
2024-11-10 16:00:00,27397,31388,124055880,3099144200.0
2024-11-10 17:00:00,29501,42838,234604997,15480711000.0
2024-11-10 18:00:00,37908,61378,166901482,8188653600.0
2024-11-10 19:00:00,34138,50722,327508074,34134288000.0
2024-11-10 20:00:00,36139,57514,320175245,11481147000.0
2024-11-10 21:00:00,30487,51354,420965129,7773937000.0
2024-11-10 22:00:00,29805,53658,505255995,59623790000.0
2024-11-10 23:00:00,40392,71919,464839368,2557005000.0
2024-11-11 00:00:00,41458,77161,364813424,5021201400.0
2024-11-11 01:00:00,49453,92057,418778186,9764176000.0
2024-11-11 02:00:00,40811,72040,370775986,17021689000.0
2024-11-11 03:00:00,38644,70848,367081746,9854829000.0
2024-11-11 04:00:00,43306,73682,293635145,14813567000.0
